Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_min,salary_max,salary_avg,experience_years,city,city_grouped,skills_count,has_technical_skills,has_management_skills,Job Type_encoded,Career Level_encoded,Minimum Education_encoded,Gender_encoded,city_grouped_encoded,Functional Area_encoded
Order Fulfillment Manager,"PKR. 30,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Retail,Experienced Professional,3-Jan-25,2 Years,Intermediate/A-Level,Male,,"Team Building, Order Tracking, Order Processing, Order Management",30000.0,60000.0,45000.0,2.0,Lahore,Lahore,4,False,True,1,2,4,1,7,32
Video Editor,"PKR. 30,000 - 30,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",General,Entry Level,19-Jan-25,1 Year,Bachelors,No Preference,,Video Editor,30000.0,30000.0,30000.0,1.0,Karachi,Karachi,1,False,False,1,1,0,2,6,11
Branch in Charge (Patokki),"PKR. 60,000 - 60,000/Month",Full Time/Permanent,"Patoki,
                                                                                                                                                                                                                                                                                            Pakistan",General,Entry Level,19-Jan-25,3 Years,Bachelors,No Preference,,"Customer Service, Problem Solving, Communication, Time Management, Customer Relationship Management",60000.0,60000.0,60000.0,3.0,Patoki,Other,5,False,True,1,1,0,2,8,11
Php,"PKR. 85,000 - 85,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",General,Entry Level,19-Jan-25,2 Years,Bachelors,No Preference,,"PHP, MySQL",85000.0,85000.0,85000.0,2.0,Lahore,Lahore,2,True,False,1,1,0,2,7,11
Laravel,"PKR. 100,000 - 100,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",General,Entry Level,19-Jan-25,4 Years,Bachelors,No Preference,,Laravel Framework,100000.0,100000.0,100000.0,4.0,Karachi,Karachi,1,True,False,1,1,0,2,6,11
Operations Manager,"PKR. 100,000 - 150,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,18-Jan-25,0 Years,Bachelors,No Preference,,"Team Management Skills, Leadership Skills, Communication Skills",100000.0,150000.0,125000.0,0.0,Karachi,Karachi,3,False,True,1,2,0,2,6,24
Customer Sales Representative,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,18-Jan-25,0 Years,Matriculation/O-Level,No Preference,18 - 25 Years,"Fluent in English, Coordination Skills, Communication Skills",30000.0,40000.0,35000.0,0.0,Lahore,Lahore,3,False,False,1,1,8,2,7,4
Sales Executive,"PKR. 35,000 - 100,000/Month",Full Time/Permanent,"Jaranwala Road, 
                                                                                                                                                                                                                                                                                                            Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,17-Jan-25,0 Years,Intermediate/A-Level,No Preference,,"Communication Skills, Telemarketing  Skills, Sales Management, Fluent in English",35000.0,100000.0,67500.0,0.0,Jaranwala Road,Other,4,False,True,1,1,4,2,8,33
Truck Dispatcher,"PKR. 30,000 - 45,000/Month",Full Time/Permanent,"Architect Society, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,18-Jan-25,0 Years,Intermediate/A-Level,Male,,"Email List Management, Dispatch Skills, Coordination Skills",30000.0,45000.0,37500.0,0.0,Architect Society,Other,3,False,True,1,1,4,1,8,4
Customers Sales Representative,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Bahria Town Rawalpindi, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,18-Jan-25,0 Years,Intermediate/A-Level,Female,,"Sales Management, Sales Automation, Coordination Skills",30000.0,40000.0,35000.0,0.0,Bahria Town Rawalpindi,Other,3,False,True,1,1,4,0,8,33
Business Development Executive,"PKR. 40,000 - 80,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,18-Jan-25,0 Years,Intermediate/A-Level,No Preference,,"Coordination Skills, Communication Skills, Negotiations Skills",40000.0,80000.0,60000.0,0.0,Islamabad,Islamabad,3,False,False,1,1,4,2,3,33
Sales Development Representative,"PKR. 50,000 - 100,000/Month",Full Time/Permanent,"Wapda Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Experienced Professional,18-Jan-25,0 Years,Bachelors,Male,,"Communication Skills, Sales Generation, CRM",50000.0,100000.0,75000.0,0.0,Wapda Town,Other,3,False,False,1,2,0,1,8,33
Customer Services Representative - Spanish,"PKR. 60,000 - 175,000/Month",Full Time/Permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,18-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Fluent in English, Customer Interaction Management, Customer Care Representation",60000.0,175000.0,117500.0,1.0,DHA,DHA,3,False,True,1,1,4,2,0,4
Civil Engineer,"PKR. 50,000 - 250,000/Month",Full Time/Permanent,"Gulshan Ravi, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Architects & Construction,Experienced Professional,15-Jan-25,5 Years,Masters,No Preference,,"AutoCAD, Microsoft Office, Civil Design Knowledge",50000.0,250000.0,150000.0,5.0,Gulshan Ravi,Other,3,False,False,1,2,7,2,8,3
Customer Support Executive,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,14-Jan-25,1 Year,Bachelors,No Preference,,"Fluent in English, Ingredient Management, Customer Service",60000.0,70000.0,65000.0,1.0,Lahore,Lahore,3,False,True,1,1,0,2,7,4
Recruiter,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Human Resources,Entry Level,18-Jan-25,1 Year,Intermediate/A-Level,No Preference,18 - 35 Years,"Pressure Management, HR Policy Management, Employee Relationship Management",50000.0,60000.0,55000.0,1.0,Karachi,Karachi,3,False,True,1,1,4,2,6,14
Team Lead Operations,"PKR. 70,000 - 90,000/Month",Full Time/Permanent,"Civil Lines, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Operations,Experienced Professional,18-Jan-25,2 Years,Intermediate/A-Level,No Preference,,"Team Management Skills, Leadership Skills, Communication Skills",70000.0,90000.0,80000.0,2.0,Civil Lines,Other,3,False,True,1,2,4,2,8,24
Lathe Machine Operator,"PKR. 90,000 - 250,000/Month",Full Time/Permanent,"Quaid-e-Azam Industrial Estate, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,15-Jan-25,3 Years,Certification,No Preference,,"Coordination Skills, Teething Machine, Communication Skills, Milling Machine",90000.0,250000.0,170000.0,3.0,Quaid-e-Azam Industrial Estate,Other,4,False,False,1,2,1,2,8,16
Call Center Agent – Outbound,"PKR. 60,000 - 80,000/Month",Full Time/Permanent,"Gulberg, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,15-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Communication Skills, Fluent in English, Coordination Skills",60000.0,80000.0,70000.0,1.0,Gulberg,Other,3,False,False,1,1,4,2,8,4
SEO Specialist,"PKR. 60,000 - 70,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,15-Jan-25,0 Years,Bachelors,No Preference,,"SEO, Search Engines Submission, SEO Engine Ranking",60000.0,70000.0,65000.0,0.0,Islamabad,Islamabad,3,False,False,1,2,0,2,3,34
Registered Nurse,"PKR. 300,000 - 450,000/Month",Full Time/Permanent,"Abu Dhabi,
                                                                                                                                                                                                                                                                                            United Arab Emirates",Health & Medicine,Entry Level,14-Jan-25,Less than 1 Year,Bachelors,Female,,"Healthcare Professional, Patient Counseling, Monitor Patient Condition",300000.0,450000.0,375000.0,1.0,Abu Dhabi,Other,3,False,False,1,1,0,0,8,12
